Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Aruba,ABW,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141899441,1224022346,1321229050,1392737430,1458100559,1324022346,1316201117,1346927374,1432402235,1527932961,1816759777,1893854749,2008379888,2146368715,1906145251,1854189944,2136312849,2089385475,2349720670,2350837989,2164804469,2101117318,2189385475,,,
Afghanistan,AFG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,37777780,44444446.67,51111111.11,126666717.8,144444451.1,215555548.9,259999993.3,237777784.4,208888900,211111117.8,208888900,295555548.9,288888877.8,255555562.2,320000000,337777777.8,380000006.7,437777795.6,457777788.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4067099314,5771312262,7207299510,9817510133,10054634818,8246634993,8461684707,7327477074,7956454222,7983844721,7233182126,
Angola,AGO,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5738980004,6697298360,7370216539,8831519590,10645428494,15181994766,16320505275,26207276866,43286243193,44777816509,35682259098,43947386911,45919711317,49304202033,50471640781,38499512247,25529394464,28397112166,25887360494,,
Albania,ALB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,372867136.2,362610725.8,336224987.5,335624987.5,408575012.5,483800000,487500000,314316659.7,627952433.9,764996711.8,773426393.9,836744255.2,1064684222,795638991.1,933614580.6,1097558436,1508343773,1771127106,2068787044,2591005964,3220867804,3853670511,4364189416,5867639633,6717539985,6004539468,5792185436,6700236878,5860877559,5999380803,6243003603,5070975940,5436220795,6070360537,6856096906,6908299985,2020
Andorra,AND,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74368E+11,1.93192E+11,2.02501E+11,2.05203E+11,2.0519E+11,1.98873E+11,2.16749E+11,2.19722E+11,2.33953E+11,2.69486E+11,3.46155E+11,4.24157E+11,5.0253E+11,6.56829E+11,8.49601E+11,7.61061E+11,8.00308E+11,9.11819E+11,1.02648E+12,1.11208E+12,1.17286E+12,1.09387E+12,1.01475E+12,1.06424E+12,1.10594E+12,1.11889E+12,
United Arab Emirates,ARE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42053369639,47845064670,57668073519,78428046290,93862491491,1.1293E+11,1.66134E+11,2.19714E+11,1.8714E+11,1.78611E+11,2.15973E+11,2.39749E+11,2.52509E+11,2.77888E+11,2.66276E+11,2.70442E+11,2.90783E+11,2.81536E+11,2.88398E+11,
Argentina,ARG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,2294367227,1441753153,1424602864,1176470539,1428571371,1212121237,1428571475,2000000041,1495789482,2199999959,2374999979,3000000102,4555555490,3135135021,3030000057,4159999873,3319672098,4383512571,4989980080,5800000171,5497685333,6068376037,3762000095,5546666807,7015555449,8417142924,7839772666,5042239481,6546483926,11531201154,18606904906,22049649650,27299960000,26038017000,30148400000,37413700000,38667300000,32762700000,33070146000,27603881800,13065823829,18772898619,27736672324,34392237787,40480743016,52567536062,66316154417,48268743530,67937933972,88839174035,78013690407,81240190817,73691675720,70064879912,75639125937,89852806469,85362531386,67914684753,
Armenia,ARM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045655213,1243607801,779530102.3,729847869.3,961398417.1,913101574.3,894135813.8,955405613.9,1000634291,919091321.1,957156465.2,968529888.7,1096735502,1391414379,1605180992,2098701754,2482540157,3570727647,4697073302,3684309463,4157364238,4757906357,5139753188,5360220562,5461874861,4418183192,4510568834,5706165566,6650457289,7234272553,
American Samoa,ASM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559000000,571000000,567000000,614000000,634000000,621000000,754000000,556000000,537000000,559000000,643000000,641000000,679000000,658000000,635000000,616000000,632000000,,
