Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Aruba,ABW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121229050,1195530726,1264245810,1326256983,1377094972,1393854749,1353631285,1260335196,1275418994,1450279330,1597765363,1596648045,1730167598,1858659218,1593854749,1459217877,1729050279,1653631285,2067039106,2144692737,2146368715,2114525140,2241340782,,,
Afghanistan,AFG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,22222233.33,24444455.56,26666680,68888922.22,71111144.44,113333340,120000000,113333340,122222228.9,142222222.2,171111104.4,199999988.9,235555544.4,224444437.8,302222222.2,300000006.7,337777777.8,344444451.1,357777771.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110577456,2566011312,3057796258,2339889154,1383202847,1985367815,1417300546,1136013206,1152895768,1609466077,1481080338,
Angola,AGO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8187952997,6736804052,8725781182,9676099740,13749769575,24225663184,33245105956,44319695565,64168383680,41310593206,51572818661,67822745138,71632934596,69376269462,65126113465,34572954934,28440561887,35420915617,41388899133,,
Albania,ALB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,335069933,319090900.3,327312512.5,333550012.5,348287487.5,418924987.5,312500000,82300000,81519209.68,189399541.5,225407481,302465325.4,371808985.5,230303544.6,291949986.8,540977914.6,700083398.1,836717875.5,910729685,1169850311,1596261929,1853022971,2242665086,3016116154,3259293924,3040048285,3337085745,3769457698,3565049333,3694412184,3732057452,3104896965,3437126528,4110290932,4776973438,4814309045,2020
Andorra,AND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63617E+11,1.86348E+11,2.13688E+11,2.2029E+11,1.72021E+11,2.06896E+11,2.88927E+11,2.6651E+11,2.77259E+11,3.47267E+11,4.62005E+11,6.24642E+11,7.62916E+11,8.89464E+11,1.18796E+12,8.32421E+11,1.04003E+12,1.36258E+12,1.54322E+12,1.52789E+12,1.45085E+12,1.06861E+12,9.82418E+11,1.1246E+12,1.31738E+12,1.25333E+12,
United Arab Emirates,ARE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50787202178,54362695711,69538461538,93968596324,1.22071E+11,1.52434E+11,1.8669E+11,2.48808E+11,2.01959E+11,2.38328E+11,3.15868E+11,3.75514E+11,3.92245E+11,4.01367E+11,3.61253E+11,3.60626E+11,3.84044E+11,3.92863E+11,3.89372E+11,
Argentina,ARG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,1147183934,1441753550,1424603255,1764705803,1904761830,1818181858,1714285705,2000000041,1769210603,2000000003,2500000047,4000000136,4999999840,3054054017,4695000304,5459999881,4999999950,4508960597,3895791555,5445263190,7663966256,9515669467,6003000152,10376666929,9054444307,8747619117,12029545361,10007559520,14643450361,14561091033,15095901878,16357317317,19385100000,24978532000,28381400000,30928400000,31137200000,27862300000,31223690400,31112418400,27736610298,33084505278,39266996606,46198180131,53550250227,65162321195,79762958392,65133480388,80208867996,97810932629,88655850854,80690471898,75818867911,63671789069,69842486096,72256505014,74240343947,77747790213,
Armenia,ARM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789960888.4,842829165.1,506749951.3,567247790.5,517226119.4,351337813,371135631.4,332378715.8,359865213.1,383089748.7,423629629.7,511522177.8,661384145.8,855676348.1,1008274440,1338475058,1413899467,1674567081,1663675191,1268730217,1828759529,2284326830,2927398423,3153950546,3316273474,3137295852,3495833404,4303143005,4700537840,5267082961,
American Samoa,ASM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518000000,513000000,460000000,498000000,495000000,505000000,641000000,530000000,364000000,335000000,482000000,457000000,426000000,427000000,427000000,362000000,438000000,,
Antigua and Barbuda,ATG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,31551851.85,46111111.11,75440740.74,74077777.78,91137037.04,93562962.96,94029629.63,129688888.9,151681481.5,205892592.6,226985185.2,265525925.9,290937037,345300000,369862963,407266666.7,439285185.2,436459259.3,401607407.4,402522222.2,443288888.9,465900000,472829629.6,466861925.9,445334074.1,427865296.3,462637925.9,533973111.1,545269370.4,548169814.8,581289333.3,625368666.7,561623518.5,523833888.9,537755740.7,543333333.3,545555555.6,590740740.7,602193555.6,608888888.9,,,,
Australia,AUS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2413484153,2437003024,2772986897,2796505768,3549109643,3428155449,3525590772,3915332064,4016127226,4377869862,5354462986,5715085676,6663551402,9019859065,11680176861,13874095316,14185049792,15449644414,16123392736,19275247075,24616155989,26334610473,26231932031,24060832943,26236189096,27497123571,27321628428,29290629963,37674621653,45334256168,47071950750,52249430971,54226716911,54747048904,58015219647,65793733294,75814112291,83327594303,78166587533,71285875423,80697104817,84096812279,81986709920,89076295865,1.05368E+11,1.26652E+11,1.48419E+11,1.72357E+11,2.12503E+11,2.1344E+11,2.2705E+11,2.99392E+11,3.32126E+11,3.14546E+11,3.08751E+11,2.70134E+11,2.32716E+11,2.81898E+11,3.12658E+11,3.36069E+11,
Austria,AUT,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,4210936385,4828105023,5940800643,7945377117,10245142962,11254488267,12352078469,14409079261,18066572823,22832410396,26006990002,23441765250,22623842785,21981186839,22265892373,24230778532,31689309599,38996595559,44096573610,46607267811,59423125378,60116254331,64678674931,59900881226,65453950006,80827705746,81256732519,78792186267,83704902179,85477892606,85305371292,88047337808,96701496330,1.16639E+11,1.41025E+11,1.53626E+11,1.70827E+11,2.043E+11,2.29127E+11,1.80908E+11,2.00893E+11,2.32584E+11,2.20982E+11,2.29834E+11,2.35967E+11,2.02703E+11,2.07301E+11,2.26048E+11,2.53973E+11,2.48694E+11,
Azerbaijan,AZE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3885196372,4014478402,4302724069,2281805933,819242649.7,991644243.4,791908858.4,1150564617,1009305139,1281380203,2118054168,2368624503,2666940959,3056403991,4235066653,8337000212,13954555630,22516839529,32133276534,22870241354,28728665753,37214511840,36914842159,35907329509,32560882315,20059340230,17580998935,19839356263,25484470588,23629647059,
Burundi,BDI,Exports of goods and services (current US$),NE.EXP.GNFS.CD,24499998,26250000,28000000,17500000,36750000,16452740.74,17828571.43,19257142.86,18861714.29,18371428.57,25945142.86,21329142.86,28961142.86,33526603.85,33674920.63,34839365.08,61551304.35,96342222.22,71443333.33,110822222.2,81022222.22,88603333.33,103470000,97956966.11,113561106,126803836.3,140881024.8,110260311.6,136282900.4,108560194,89130244.37,115775316.4,94756920.93,88062144.15,95016968.85,129318804.2,50580560.2,95688945.65,71499431.18,61217971.47,55005758.53,45410971.28,38676369.53,50072047.44,63635537.87,69261008.83,92956376.48,92221558.66,169242773.9,117576041,197117152.2,196752242.7,226330906.4,223097905.3,205732033.5,177973982.2,196892749.3,236167733.2,285503118.5,275062068.7,
Belgium,BEL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,12006111416,13052185100,16423224636,22932275719,29637776719,30156821213,34528906479,39354961396,46332075061,58067512108,63563402676,56620736528,53510783066,52655467140,53687392628,53878264216,68750421438,83463311399,96418786835,1.0439E+11,1.26512E+11,1.2679E+11,1.38073E+11,1.26086E+11,1.43073E+11,1.73145E+11,1.7085E+11,1.63721E+11,1.65909E+11,1.66675E+11,1.7136E+11,1.69392E+11,1.82148E+11,2.19109E+11,2.61316E+11,2.86413E+11,3.13301E+11,3.68272E+11,4.16716E+11,3.3133E+11,3.64802E+11,4.21761E+11,3.98952E+11,4.1379E+11,4.26678E+11,3.59577E+11,3.77878E+11,4.15055E+11,4.48408E+11,4.32843E+11,
Benin,BEN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,13852022.33,10801828.34,8317361.995,9703490.052,13861514.15,21069299.1,20739915.27,23474433.63,30461094.82,38939712.02,50633283.06,59595404.5,59023791.05,78995251.9,79408573.24,98337358.6,90731935.28,121349816.9,153492175.5,207784769.9,222261792,205681872,225297369.5,150766908.1,205805456.7,247338434.7,222807320.1,238541696.1,223654558.3,202741075.4,375946872.3,417201334.7,393976833.8,510965402.2,452687266.9,593804034.8,625667835.2,616436678.9,665156749.2,845840856.5,723503459,727789558.5,823513903.2,995095866.3,1143984773,1213458998,1269086284,1798312733,2158338689,1932930440,2199999216,2229520361,2662421231,3451240834,4175439095,2815204774,3263416681,3455561315,3889961780,4264042972,
Burkina Faso,BFA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,16066015.59,19014523.36,20997594.42,21985472.4,11484234.6,19676614.67,21918946.48,22215438.64,28569274.04,27823662.44,25007057.45,26587940.94,37028538.94,42590357.72,62500051.52,69071585.05,80128193.55,90048551.04,110202801.8,144182091.5,172630524,164734458.7,143789772.7,126168367.9,160016224.5,154030085.9,183075141.1,269185266,287730467.4,228834247.8,340110196.1,327535416.5,198184577.9,208751601.5,269162042.4,336477102.2,273233009.4,264655013,359254830.5,281097191,261515857.4,288287565.7,319625646.6,436139398.4,592167087.3,604674172.7,716754604.8,788108891.4,955390213.2,1297930095,2074074147,3164494170,3340989789,3640311464,3755133897,3089098203,3325889004,3729527654,4511341002,4366363961,
Bangladesh,BGD,Exports of goods and services (current US$),NE.EXP.GNFS.CD,427347691.4,519448521,546086853.3,531067333.1,540135770.2,570741539.8,662275557,675028035.7,623451537.7,690047514.3,747575116.1,550621082.3,356841000,528824097.2,463095606.3,563045020.3,480166471.4,679513484.2,738155879.6,950929356.1,996555891.5,1038984088,940219560.9,986784511.8,642600000,1199576923,1128533333,1212483871,1442788426,1594548362,1866930005,2062577031,2405649867,2990714286,3039700748,4122014925,4507555012,5075480094,5876850220,6028722962,6588073942,7227575982,6791241511,6876856649,7257329710,9994813008,11744907683,13530306979,16181037750,17359874074,18472449276,25627346571,26886637936,29304945498,32830360072,33820154153,36864997681,37546818878,40560411466,46363741963,
Bulgaria,BGR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,7084153846,7081357143,6631000000,6153111111,7061055556,7341684211,8106529412,11461076923,10277764706,10207166667,6833181818,4758064516,4876288660,4137681159,4368450185,6139107143,5962327150,5610034485,6304076346,5825652718,4797489757,4947390946,5519115551,7277457148,10713394070,12703276793,16150904893,23262813856,28590551193,21963725741,25395582781,33916506221,32772597898,36043133822,36875485009,32398958286,34460613688,39675532700,43600070006,43183977104,
Bahrain,BHR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,3813478376,4547340160,4337766223,3611169947,3768351064,3716489628,3013031915,3472340426,3529787234,3811169947,4887765691,3923935904,4009042287,4361702128,4520478723,4796010638,5364361436,5020744947,3994946809,5221808511,7176063830,6607446809,6956117021,7980851064,10336702128,13396808511,15662234043,17314361702,21231382979,15704787234,17880319149,28609308511,31409042553,34102925532,32069148936,25805319149,23918617021,26881914894,29959042553,,
"Bahamas, The",BHS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,589300000,688100000,785000000,939800000,961200000,1038300000,1153500000,1297900000,1503600000,1577900000,1664300000,,1648320000,1714730000,1585170000,1562180000,1606810000,1662790000,1699040000,1733680000,2335400000,2368200000,2801300000,3072900000,2834100000,3212800000,3176400000,3460500000,3812500000,3895000000,4257100000,4157100000,3412900000,3528800000,3769900000,4087400000,4245700000,4149100000,4125100000,4211200000,4192100000,4482800000,,
Bosnia and Herzegovina,BIH,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194000000,381000000,658000000,1022000000,1123990567,1295321569,1579685634,1632283629,1619401636,2535225101,2946920635,3549945953,4505419793,4276291113,5131402037,4405111158,5100738132,5973017983,5572978584,6133980721,6306151133,5653138078,6028973474,7382218509,8501630658,8049732128,
Belarus,BLR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9950000000,6000000000,10185185185,11008264463,10641993958,6939552977,6839769231,8457248498,8988770378,7186389619,8815283224,8246546763,9285958124,11615943442,15711851852,18063463324,22195244755,27593429637,37027902622,24865449338,29396844579,48458472362,51744692335,44058175676,43301115023,32749824187,29831121834,36551674171,42295053004,41905201262,
Belize,BLZ,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,88973677.08,84972542.79,70947948.35,76516537.32,108649358.1,83652580.96,104359482.2,137936011.2,161076592,172914999.7,201789164.7,194000000,257665600,261401800,289455450,297425600,320713850,345342500,362282350,398031450,440767300,443480250,490171700,526733350,534853450,609026800,744269450,788432250,853628650,690190900,813293700,914738900,981551650,1032304100,1036213200,1013861000,933746650,1009694450,1079726300,1084579350,
Bermuda,BMU,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2699314000,2704649000,2644231000,2589439000,2656891000,,,,,,,
Bolivia,BOL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,60602013.39,66695604.27,67363395.05,81303527.6,109517688.1,129713804.7,142255892.3,170033670,169696969.7,189814814.8,250168350.2,234343434.3,265513350.9,350024987.5,741229385.3,623738130.9,756121939,864117941,849175412.3,1068846706,1101141925,1386623165,1623181529,1536933903,1459225552,1024366576,844298528.6,853524588.2,862854857.4,1061010967,1108688320,1147700385,1131361364,1094220300,1295735743,1514377643,1670373428,1673157414,1673904648,1398595245,1534697178,1626040049,1710308647,2069144689,2731911668,3394519904,4783642094,5483666701,7487864968,6194300427,8093183263,10565709240,12774727496,13518462663,14285068596,10186598842,8311504920,9341206368,10470274240,10210442547,
Brazil,BRA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1070544629,1109152823,770900519.7,2080325262,1354466135,1685625122,1846958712,1764834055,2032731103,2479930322,2975391707,3155632739,4249449496,6557708238,8424673828,9325921437,10741988183,12776590679,13404621905,16026612550,21276141968,24828388399,21435129573,23221079049,28317692073,27305943051,23640556197,27820190045,35974382968,38004000000,37880000000,52310000000,43538125000,45983167702,53941811356,57920041190,57235482141,61679566883,60724077380,57330907864,66774569992,69203919565,72286060357,84757339584,1.10744E+11,1.35919E+11,1.59216E+11,1.86199E+11,2.29513E+11,1.80895E+11,2.40007E+11,3.03022E+11,2.92804E+11,2.90363E+11,2.70453E+11,2.32489E+11,2.23864E+11,2.5833E+11,2.80743E+11,2.63498E+11,
Barbados,BRB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,202627097.7,202690388.3,245539166.8,321101775,438572067.8,603440560.8,565753492.8,631531845.1,740714960.5,823546959.7,811763536,715905136,659623129.3,748670014.4,852533187.5,867846666.3,819569432.7,808900000,872470541.4,973599164.7,1038930045,1134340973,1161686471,1194252474,1230497688,1322800000,1251500000,1211100000,1378750000,1435900000,1711700000,2026229150,2273854150,2327059750,1946091200,2104601250,2071175100,1964175800,1963432350,1893703900,1954045850,2083292250,2100297550,2100093700,2188203000,
Brunei Darussalam,BRN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,966802084.6,1052165479,1332766715,1639747479,1844766931,2665317760,4601625257,4066833909,3809813084,3393752958,,,,,,1845357125,2176000000,2468163927,2421117250,2248421834,2087861726,2827007196,3065957447,2972117457,2044694073,2567551622,4042036717,3894175364,3922149447,4543527035,5416090226,6688037371,8227327082,8310397452,11269686706,7811357074,9239791713,12876222275,13364276569,12311381074,11657150750,6751036439,5652190835,6012294735,7045834309,7804997267,
Bhutan,BTN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,18510178.12,22602771.36,20400634.25,19968316.83,21887323.94,25820533.55,35504361.62,59617283.95,79686063.22,77398028.34,80434037.69,80410290.24,80220293.21,74261397.18,79964297.1,114460067.8,112291843.1,131398512.8,124772176.4,130380863.9,129012507.8,125216999.4,128202190.9,158797507.5,218024620.5,313215333.3,488540499.3,657474450.1,613943620.5,565371973.7,673077343.6,750024105.2,706230865.4,727604108,714242710.5,689952056,639422224.5,737147921.7,754068079.2,,
Botswana,BWA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,7991027.618,8954806.212,9953736.156,11044317.07,11989404.71,14519056.26,15062761.51,14435146.44,15271966.53,17615930.93,23729759.91,42086129.75,61760499.28,94799020.31,125239146.4,154834347.5,187442502.3,229869358.7,307353296.3,443742331.3,562918167.8,533763595.1,553753520.4,727778284.3,754544054.2,738988752.2,951599169.8,1476502472,1864978672,1826368554,2086912120,2090843886,1997772195,1959225785,2036914252,2404876993,2609469948,3056343815,2361177501,3027160280,3000196009,2671112100,2836767913,3667669549,4444139019,5255909518,5291779461,5963543364,4999047884,3573059776,5579516015,7668392267,7102151173,9167947445,9501309032,7183700267,8223892782,6904816669,7528333333,6160144665,
Central African Republic,CAF,Exports of goods and services (current US$),NE.EXP.GNFS.CD,26101663.53,32618432.43,30610513.53,32650875.61,40403674.37,40806179.2,44773980.94,43089273.25,65799813.95,51399881.37,60397792.93,60030783.73,57429311.31,77607282,78051053.01,80012173.79,100096590.7,127861435.8,142999429.7,157199556.6,201027829,169417064.6,165958843.5,159064482.5,149211719.4,190340624.5,204099901.3,214306676.8,224453261.8,250535801.1,245892968.9,242234415.4,238129779.6,218665883.1,199169783.7,247850138.4,216376660.5,252105044.4,219168752.4,192136061.3,186303954.2,159877005.1,158252320.5,207845728.9,177784785.8,178708437.5,209094018.8,239616991.8,218449261.6,202648827.4,249093411.1,320054001.2,289922972.3,253274147.2,315975075.2,289437776.7,270502000,357682947.6,419401328.5,414205622.7,
Canada,CAN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,7215712237,7439414166,8094515611,9398224064,9996446867,11675300777,13131449205,15002668948,16551276495,19265001436,20913052090,24070108092,29896010399,38617586912,38302202123,44942190669,48202162670,53813447883,64212907632,75584160109,81065977146,79268055443,85210159039,99654852907,1.00873E+11,1.02285E+11,1.1263E+11,1.32708E+11,1.42066E+11,1.49462E+11,1.49171E+11,1.55724E+11,1.68751E+11,1.90115E+11,2.1874E+11,2.33946E+11,2.49766E+11,2.53785E+11,2.83991E+11,3.29259E+11,3.10668E+11,3.04706E+11,3.3015E+11,3.83241E+11,4.32369E+11,4.67052E+11,5.02771E+11,5.34151E+11,3.91986E+11,4.71714E+11,5.50012E+11,5.55063E+11,5.60294E+11,5.7238E+11,4.95627E+11,4.81436E+11,5.18235E+11,5.50529E+11,5.49483E+11,
Central Europe and the Baltics,CEB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28422E+11,1.3611E+11,1.43429E+11,1.5805E+11,1.52975E+11,1.65133E+11,1.83137E+11,2.06521E+11,2.64005E+11,3.4541E+11,4.12648E+11,5.01964E+11,6.40021E+11,7.61658E+11,6.01529E+11,6.88922E+11,8.24545E+11,8.00695E+11,8.5975E+11,9.04565E+11,8.03014E+11,8.32619E+11,9.42183E+11,1.05877E+12,1.05445E+12,
