Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Aruba,ABW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.96911556,20.16088222,23.59436653,21.9759573,21.85608063,21.41059437,24.52720396,25.15107914,24.70978441,23.16370018,23.1303931,22.64976959,21.66203803,21.97802198,25.37446904,27.15587754,25.98597721,28.10227022,19.85111663,18.2020202,17.04936854,16.78282162,16.68799123,,,
Afghanistan,AFG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.516561396,9.925976977,10.68929603,10.67031925,11.59206578,11.04200573,10.60747369,11.73792815,14.40849844,12.92224991,12.43007715,12.08597326,12.70866699,12.35095933,12.40536877,12.57142784,12.85906198,13.12395585,
Angola,AGO,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.15463272,19.13057854,21.85425921,14.31205981,16.02903718,15.34172241,15.5369347,16.81461146,19.89859034,17.04234392,18.23586053,17.84263437,21.62194874,17.97565999,16.43283225,13.88068207,12.93582152,10.47454474,,
Albania,ALB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,9.311651504,8.843533907,8.898612793,9.093995237,9.751530501,9.639551408,9.613429837,9.99617334,9.805062069,9.131903297,19.18854689,22.8753326,21.40828829,14.6384098,14.62340192,13.82711526,9.45359859,10.44800103,10.84439455,11.05558457,9.69245369,10.62595908,11.33513178,11.09843085,11.2058738,11.03126441,10.52728944,10.47744189,10.37895584,11.10942036,11.15735506,10.97416403,10.84481612,11.02549593,11.45187127,11.11063903,11.2693143,11.49839735,11.29357203,11.53108376,2020
Andorra,AND,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,17.29609371,17.01549417,17.39435936,18.03192344,14.32316628,17.28305133,18.35993433,18.39547834,20.53967373,18.71485446,16.29930285,19.2481379,22.33614822,24.37757489,23.71429982,24.26226431,26.61244249,25.7757049,24.17035244,24.2320315,21.53041613,26.62144982,22.84800013,19.76586644,19.77485273,19.20779368,18.99617081,19.96366789,22.02893717,19.63983242,18.73332639,18.4390377,18.4068191,17.12044482,17.18281653,15.69907042,15.11577976,14.80976985,13.62862169,17.01383852,15.90276342,15.58122831,15.86309755,17.21601042,18.31511932,20.90343812,19.81898547,18.91319639,18.14885801,19.43357376,
United Arab Emirates,ARE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.914023515,10.14648629,9.750233543,8.746697514,7.872593156,6.917822055,6.732997877,7.296835617,10.23414291,10.03107177,9.953314801,9.730439549,10.98442789,10.93186437,12.42857827,12.52651063,13.21193518,11.81921854,13.27841895,
Argentina,ARG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,9.880445095,7.789632048,12.19237454,10.25219496,7.22902581,8.089486313,10.80433856,9.739278166,9.829350628,9.50117537,9.742543262,10.14621607,9.351696961,11.53932357,13.15323273,12.58917764,9.420094728,9.015409977,11.16611167,11.00784596,,,,,,,,4.714494499,4.321910284,4.494395965,3.135428392,3.321761288,2.975538028,13.51037847,13.18690437,13.34945568,12.50167766,12.06201425,12.494775,13.72321141,13.78419131,14.15627431,12.2352473,11.43805679,11.11463607,12.14186124,12.42941537,12.9893239,13.63351326,15.90389675,15.16371789,15.68895652,16.64543781,16.8062378,16.94987574,18.09837976,17.65457819,17.66609346,16.07871328,15.27387043,
Armenia,ARM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3064997,18.50922324,18.54669719,17.19368198,11.54304603,11.32299122,11.34300916,11.47718311,11.29209705,12.23046955,10.7986681,10.34133848,9.169041823,9.384795808,9.356232102,9.710011798,9.26564058,9.398191982,9.395905687,12.28372598,12.04370773,11.91029326,10.90996389,11.93506543,12.08585349,13.11159781,13.45415852,12.31855199,11.48669032,12.47208949,
American Samoa,ASM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,11.11044128,11.33462503,11.98626281,11.69548011,11.38602196,11.9046591,12.82240841,12.7919829,13.62155861,13.07099615,13.18824455,13.92320286,14.42990738,14.63002794,14.46940536,16.81469406,17.9013384,17.48027562,17.85663226,17.38639143,17.23886537,17.83531175,17.76395959,18.67760643,18.34350308,18.91757316,19.00245927,18.95151693,18.0623051,17.39309065,17.23836525,18.19951843,19.04483477,18.93164032,18.37202661,18.02445371,17.95511364,17.62175148,17.6146112,18.00590511,17.78709811,17.78315789,17.54424576,17.59538554,17.49537477,17.56158856,17.4798029,17.34393651,17.2426534,17.591547,17.99900247,17.8107498,17.98623236,17.84037956,17.69738447,18.0607423,18.65685482,18.60058845,18.67845482,18.90177204,
